[2023-03-26 08:38:51] WeeChat 3.8 (compiled on Mar 16 2023 14:43:13)
[2023-03-26 08:38:51] Writing configuration file sec.conf (default options)
[2023-03-26 08:38:51] Reading configuration file sec.conf
[2023-03-26 08:38:51] Writing configuration file weechat.conf (default options)
[2023-03-26 08:38:51] Reading configuration file weechat.conf
[2023-03-26 08:38:52] Writing configuration file plugins.conf (default options)
[2023-03-26 08:38:52] Reading configuration file plugins.conf
[2023-03-26 08:38:52] Writing configuration file charset.conf (default options)
[2023-03-26 08:38:52] Reading configuration file charset.conf
[2023-03-26 08:38:52] Writing configuration file logger.conf (default options)
[2023-03-26 08:38:52] Reading configuration file logger.conf
[2023-03-26 08:38:52] Writing configuration file exec.conf (default options)
[2023-03-26 08:38:52] Reading configuration file exec.conf
[2023-03-26 08:38:52] Writing configuration file trigger.conf (default options)
[2023-03-26 08:38:52] Reading configuration file trigger.conf
[2023-03-26 08:38:52] Writing configuration file spell.conf (default options)
[2023-03-26 08:38:52] Reading configuration file spell.conf
[2023-03-26 08:38:52] Writing configuration file alias.conf (default options)
[2023-03-26 08:38:52] Reading configuration file alias.conf
[2023-03-26 08:38:52] Writing configuration file buflist.conf (default options)
[2023-03-26 08:38:52] Reading configuration file buflist.conf
[2023-03-26 08:38:52] Writing configuration file fifo.conf (default options)
[2023-03-26 08:38:52] Reading configuration file fifo.conf
[2023-03-26 08:38:52] Writing configuration file typing.conf (default options)
[2023-03-26 08:38:52] Reading configuration file typing.conf
[2023-03-26 08:38:52] Writing configuration file xfer.conf (default options)
[2023-03-26 08:38:52] Reading configuration file xfer.conf
[2023-03-26 08:38:52] Writing configuration file irc.conf (default options)
[2023-03-26 08:38:52] Reading configuration file irc.conf
[2023-03-26 08:38:52] Writing configuration file relay.conf (default options)
[2023-03-26 08:38:52] Reading configuration file relay.conf
[2023-03-26 08:38:52] Writing configuration file lua.conf (default options)
[2023-03-26 08:38:52] Reading configuration file lua.conf
[2023-03-26 08:38:52] Writing configuration file perl.conf (default options)
[2023-03-26 08:38:52] Reading configuration file perl.conf
[2023-03-26 08:38:52] Writing configuration file python.conf (default options)
[2023-03-26 08:38:52] Reading configuration file python.conf
[2023-03-26 08:38:52] Writing configuration file ruby.conf (default options)
[2023-03-26 08:38:52] Reading configuration file ruby.conf
[2023-03-26 08:38:52] Writing configuration file tcl.conf (default options)
[2023-03-26 08:38:52] Reading configuration file tcl.conf
[2023-03-26 08:38:52] Writing configuration file script.conf (default options)
[2023-03-26 08:38:52] Reading configuration file script.conf
[2023-03-26 08:38:52] Writing configuration file fset.conf (default options)
[2023-03-26 08:38:52] Reading configuration file fset.conf
[2023-03-26 08:39:57] irc: connecting to server 127.0.0.1/6667...
[2023-03-26 08:40:07] irc: connecting to server 127.0.0.1/6667...
[2023-03-26 08:40:27] irc: connecting to server 127.0.0.1/6667...
[2023-03-26 08:40:47] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 08:41:00] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 08:45:11] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 08:45:31] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 08:46:11] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 08:47:31] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 08:58:54] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 08:59:15] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:04:10] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:13:05] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:13:15] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:27:44] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:30:40] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:31:00] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:31:24] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:31:44] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:32:24] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:32:41] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:33:01] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:33:41] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:33:56] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:34:16] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:34:56] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:36:16] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:38:50] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:48:56] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 09:51:03] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:05:03] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:08:51] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:09:11] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:14:04] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:14:24] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:15:04] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:16:24] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:21:24] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:24:02] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:24:26] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:31:15] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 10:34:47] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:30:15] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:30:44] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:31:04] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:31:44] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:32:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:32:32] irc: connecting to server 127.0.0.1/3232...
