[2023-03-26 11:55:45] WeeChat 3.8 (compiled on Mar 16 2023 14:43:13)
[2023-03-26 11:55:45] Reading configuration file sec.conf
[2023-03-26 11:55:45] Reading configuration file weechat.conf
[2023-03-26 11:55:45] Reading configuration file plugins.conf
[2023-03-26 11:55:45] Reading configuration file charset.conf
[2023-03-26 11:55:45] Reading configuration file logger.conf
[2023-03-26 11:55:45] Reading configuration file exec.conf
[2023-03-26 11:55:45] Reading configuration file trigger.conf
[2023-03-26 11:55:45] Reading configuration file spell.conf
[2023-03-26 11:55:45] Reading configuration file alias.conf
[2023-03-26 11:55:45] Reading configuration file buflist.conf
[2023-03-26 11:55:45] Reading configuration file fifo.conf
[2023-03-26 11:55:45] Reading configuration file typing.conf
[2023-03-26 11:55:45] Reading configuration file xfer.conf
[2023-03-26 11:55:45] Reading configuration file irc.conf
[2023-03-26 11:55:45] Reading configuration file relay.conf
[2023-03-26 11:55:45] Reading configuration file lua.conf
[2023-03-26 11:55:45] Reading configuration file perl.conf
[2023-03-26 11:55:45] Reading configuration file python.conf
[2023-03-26 11:55:45] Reading configuration file ruby.conf
[2023-03-26 11:55:45] Reading configuration file tcl.conf
[2023-03-26 11:55:45] Reading configuration file script.conf
[2023-03-26 11:55:45] Reading configuration file fset.conf
[2023-03-26 11:56:06] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:56:16] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:56:26] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:02:01] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:02:57] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:10:07] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:10:27] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:11:07] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:12:27] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:15:07] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:15:49] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:17:00] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:22:52] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:23:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:23:52] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:25:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:27:52] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:33:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:43:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:44:24] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:44:34] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:44:54] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:57:23] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:57:43] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:59:03] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:59:23] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:00:03] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:00:35] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:02:33] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:04:57] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:05:17] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:05:57] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:16:20] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:23:54] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:26:00] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:27:06] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:27:26] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:28:06] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:30:09] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:30:29] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:31:09] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:31:59] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:33:33] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:45:23] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:48:41] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:49:01] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:49:41] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:50:53] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:56:47] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:58:20] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:00:28] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:00:48] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:01:11] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:02:44] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:03:44] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:04:55] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:06:26] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:06:46] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:07:04] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:11:50] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:14:46] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:25:34] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:25:54] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:26:34] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:29:09] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:33:32] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:34:40] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:36:03] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:54:08] irc: connecting to server 127.0.0.1/3232...
